review,sentiment
"Unfortunately it depends on the day. For instance Tuesdays and Wednesdays it is breakfast. On those days I eat a granola bar. On Tuesdays and Thursdays I have to squeeze in lunch. I usually eat like a frozen burrito or a sandwich if I eat at all. On Mondays, Tuesdays (these are my worst days for meals), Wednesdays, and Thursdays its dinner. For those I usually do some sort of soup or a frozen meal. I have done salads but I dont feel that they keep me full. At the same time the frozen quick meals arent all that healthy and they dont keep me full as long either. The granola bars work but eating a granola bar for breakfast and lunch everyday gets old very quick.",negative
Also what's the deal with sugar and weight? I watched this documentary and I am not sure if it's a real thing or not.,none
They were making a claim that sugar causes you to store fat quicker and you should watch sugar instead of just counting calories,none
"Thanks for the feedback! I have noticed that I don't binge as much either and I think that's because I'm genuinely happier. I think I tend to binge when I'm stressed or feeling particularly down and I haven't had those feelings very much lately so that helped! Although exams are coming up and I know I'm going to be very stressed out so that will be tough. But I like the grounding techniques and the counting ones a lot so I'll be sure to use them during exam week and hopefully they'll help! The thing about pasta and meat is that I don't consider them forbidden, I love both of those things a lot. Chicken and steak and probably my favorite things to eat! But those are the two types of food that give me the most anxiety when eating and fear of immediate weight gain after eating them, which makes it difficult for me to enjoy them when I do eat them. Honestly I can't remember when that started but for as long as I can remember I've always ordered vegetarian things or not eaten the meat in certain things and I have no idea why! So I guess it just stuck and when I started to get paranoid about my body I guess I figured that if I started eating it now it would make me gain weight. But it helps when I remind myself that I actually do love meat and pasta and they are both okay to eat especially since I don't that often. That usually reduces my anxiety and makes me feel better when eating them.",mixed
"Hey Dawn! I don't think I am interested in talking on the phone. I'm sorry. But I don't mind at all chatting here! In response to your email, I think I have noticed subtle changes. Nothing major, but changes none the less! Like today I packed myself a snack for school while I was away from my house. Normally I would have just waited until I got home to eat. And I know that the snack is better because then I won't be starving when I get home and end up binging. I was very proud of myself for that. I do not like the meal planner technique very much. I don't really like to plan out exactly what to eat every day. Sometimes I'll do that in my head but i know I could deviate from that a little bit and it's okay. If I write it down like that I think it would take it too literally and I don't like the thought of that. I really like the counting techniques! They are very very helpful to me. The weigh in does scare me a little because I have to admit that I'm scared of seeing the number go up. I normally never weigh myself because I always thought it was bad so starting to do it now is scary. But, I'm willing to try!",mixed
"It's worked out pretty nicely actually! I've assigned 2 days as rest days and it turns out that's extremely helpful for me since I have a very busy semester. I'm having a hard time with binging again though late at night. It's never as bad as it used to be or as often, but I've been noticing it again. I think it might have to do with wanting a distraction honestly. It gives me a break from doing homework. Since I'm more aware of it and the reasons why it's happening I think I have a better idea of how to stop it though",mixed
"Just got your email! I think the hardest thing for me to do is eat lunch. I think that if I have extra snacks around that time then I won't need an actual meal. I guess that started because first semester freshmen year of college I gained a lot of weight pretty quickly and, although there were many reasons why that happened, one of the things I was doing was eating 3 meals a day. So I guess I clung to the thought that I really didn't need lunch and that would cause me to lose weight. I don't really know if that worked or whatever but I've stuck to that for a while and it's a hard habit to shake. I've been trying though but I think it might take some time before it really gets better. My body image is really affected by comparing myself to others and how I used to look my senior year of highschool. I have noticed that I'm not scanning my old Facebook photos as much anymore which is really nice. However I live with 8 girls and everyone is very obsessed with looks and the gym and things like that. Two girls in particular are especially skinny and really pretty and people really like them and it's hard not to compare myself to them. I've been more active about trying not to let it get to me but it's not easy when they're constantly around me. I haven't been able to use the discussion board because honestly it's a little confusing. I've been waiting for a time when I'm not so busy so I can really figure it out.",negative
I really don't knkw what the difference is between looking in the mirror and then at pictures. I've been trying to figure it out for a while and I truly don't understand. It's really frustrating. I'll have to try out your ideas and see if that helps.,negative
"I've just been more aware of what I'm doing and making conscious efforts to not binge. I also think my daily eating habits have become better so that helps reduce the urge to binge. I hit roadblocks when there is a lot of food available for free and easy to get. Then I seem to eat regardless of if I'm hungry or not simply by convince. The negative thought that seems to pop up the most is that I've eaten too much when most of the time I know I haven't. But feeling myself full and my stomach expand a little from being full, my thought goes to it being too much and gaining weight even though that isn't reAlly logical. It's been hard putting my replacement into action recently because work really messes with my food schedule. It's hard to plan meals when I'm so bored I end up just eating anything to pass the time! But I am excited to go back to axhool and practice this and all the other things I'm learning!",positive
"Being home is such a blessing. I'm so much happier here. Keeping routines is much easier here since j don't have any excuses. Since I'm happier to begin with, I have more of a desire to keep myself that way and do things that make me feel good.",positive
"Being home has been so so so wonderful. I already feel much better about myself. I don't have many plans for the summer but I am working so that gives me something to do. I am excited to start running again and start eating better. I am unhappy with my body right now, but being home has put me in a better mood already and that helps me want to better myself. I'm looking forward to the rest of the summer and seeing where things go.",positive
"I definitely think being at home will make things easier. I know it's the holidays and I won't be able to really work out since I don't have a gym at home, but being around my family and friends makes me so happy. That makes it easier to deal with everything. and I won't have the stress of my roommates or school to distract me.",positive
"Hey dawn! I am happy to say that my motivation for exercise has gone back up! A friend and I joined a spinning group and we take that class a few times week. And I started a new job, which has made eating healthy easier again. I really really hated my old job. It made me such an angry person and that just resulted in bad food choices and laziness. Thankfully I was able to get out of that situation and I am so happy about it.",positive
"What does the question mean when it says ""flexible with your eating""?",none
Absolutely! I do tend to have a snack after dinner because I am up so late. I am currently eating more on my family's schedule than mine because they're all here for Thanksgiving. I will definitely try to shift them though in order to get three meals in.,positive
"I know it's been helpful for me to be eating just two regular meals a day. I'll probably be able to get to three after thanksgiving break when I'm back school, but right now I'm sleeping in enough that when I get hungry after waking up, it's usually about lunch time.",positive
"Yes, that does help! No, I don't really struggle with flexibility with eating",positive
"I already eat pretty healthy foods actually, so eating better for me would be portion control. A healthy food isn't so healthy anymore once I've eating 10 too many servings of it...",negative
"I started going to a therapist from school about a month ago. And I went to a nutritionist two days ago. Talking to the therapist feels kind of liberating, like I can talk about something my family would think is stupid without feeling judged. But I liked the nutritionist better. I guess I just like facts better. And she did all these calculations to see what I should be eating and how many calories I should be eating. And I'm still reluctant to follow the plan, but I understand why she's right.",mixed
"Never. I'm from Latin America, and my cultural background has always made me believe that psychological issues are not real, they're just made up. So I've always basically thought that treatment is stupid, and I hadn't talked to anyone about it until recently. It does feel liberating to talk about it, but it's still kind of embarrassing.",mixed
"Hi dani, 
I know that maybe people haven't noticed that I've gained weighty, but I can feel it. And I hate that feeling. And I feel powerless. I feel like I have no real control over my life, so I've been avoiding logging in on purpose because I'm scared that I'm gaining weight because I stopped purging. Thinking about the self esteem exercise does make me feel better. I think about how I said I liked my intelligence. But then that goes away when I look at myself in the mirror. It's such a weird feeling. I guess yesterday was the best day. I tried to focus only on important things. Internship applications, packing for a trip, talking to friends. But what ended happening is that I ate almost nothing. I don't know if it's because of my Crohn's disease (I've been feeling terribly dizzy so I don't get hungry) or if that dizziness is caused by how fat I feel. What do you think? I guess those are the barriers getting in the way.",mixed
Hi Anna! Thank you for all the reminders. I've been in Switzerland for 4 days and life has been insane. I'll try to get back into a Go Lantern schedule!,negative
Hi Anna! I would definitely be interested in it. I've in Geneva for a bit over a week. The first few days I absolutely forgot about my (bad) eating behaviors but for the past 3 days I've been going crazy and purging. I can't shake off this feeling that I'm just going to get huge in Europe and because I don't really have friends who know about it here it's been kind of hard. What kind of resources are there?,negative
"hi Anna! I apologize for the delay, it had indeed been a crazy week. Are there any other times that would work for you? My phone number is 202-212-9587",negative
"Hey Dani!
Last week was not so good. I had the winter formal and i wanted to fit into a dress that is my usual size. But because of thanksgiving I was scared it wouldn't fit me, so I barely ate for 3 days. I've gone back to eating normally though, and I'm trying to stick to the 1,500 calories the nutritionist wants me to eat.",negative
"Hi Dani! I guess healthy to me depends only on my weight. Healthy is being skinny, and the process of getting there is pretty much unimportant. I usually eat very little, try to eat mostly liquids (somehow they feel less fattening). I know it sounds stupid. But that's healthy for me.",negative
"Hi Dani,
Yesterday and today have been good. My nutritionist gave me an eating plan and although I can't completely stick to it, it kind of gives me directions of how to eat. I still need to add more protein to my diet, I feel like I mostly just eat yogurt. I've also tried to weigh myself less. I weighed myself today for the first time since Tuesday and freaked out. Stupid thanksgiving. But I then called my partner and he distracted me so I forgot about it. I'm enjoying the daily 15 minutes, they're fun. I have an appointment with my therapist tomorrow AM. Have a good week!",positive
"As for the breaking the chain exercise, I liked the technique for today. 4-7-8 breathing. Talking to my therapist, she made me realize that the most difficult thing for me is my reaction to things I don't like. So if I see a number on the scale I don't like I'll purge, etc. Breathing and just sitting down and relaxing usually helps things.",positive
"I just finished week 9 of treatment, and I finished the semester at school last week! I can't begin to describe how difficult treatment has been for me... It has brought up so much, an d I have put in so much energy. Honestly, it really negatively impacted school, but I just got final grades, and I ended up with a 3.908 GPA for the semester, which is pretty awesome considering how unbelievably draining treatment has been. Most days, it's a struggle to do anything. Even move. I missed 3/4 of my classes over the past 2 months",mixed
"Thanks so much for your encouragement and support! It means a lot. Other ways I might be able to connect with myself are through mindful meditation, drawing, and journaling. I actually journaled (in a more creative style rather than traditional journaling) last night. It was helpful in that it helped me check in with how I was doing. The other effect it had was to make me cry...",mixed
"(it was getting too long for me to see so I'm starting a new message), and I slept through most of the rest. I have been so mentally, emotionally, and physically drained. What's more is that I have felt SO MANY feelings that ED didn't allow me to feel. and the PTSD... ugh. So bad. It feels so dark a lot of the time, but also, sometimes, I see some hope (like right now). I still have soooo much work to do, but here are two of the best parts: 1. I can cry again. Like all of the time. Which is so fucking good. I can't believe I'm saying it, but it's so refreshing to be able to cry.",mixed
Which was probably healthy... As well as painful,mixed
Hi Anna. I'm sorry I haven't been replying. I have been way too busy with finals!,negative
"Sounds good. Lunch went well. My date made breakfast foods and I didn't restrict or purge even though part of the meal was ""unsafe"" (French toast). The downside is now I don't want to eat dinner and I skipped an afternoon snack too. I don't feel hungry, and I'm pretty sure I'll purge if I eat dinner.",negative
"No questions or concerns yet, but planning my meals for tomorrow was triggering",negative
"I have chronic SI. It comes and goes, but is almost always somewhat there. No need to worry. Not talking about it is worse than posting it on this. I will call a hotline if I need to.",negative
"Yeah, that could be helpful. I would like to clear up what role you play in this and what kind of support I can ask for. When is a good time to talk? I'm on fall break so my schedule is more open",positive
"(again, too long) The pain is crazy, but the crying is so good. 2. This is my 25th day straight of following my meal plan 100% and using no behaviors (other than body checking, weighing, caffeine use, and diet drinks) but no binging, purging, or restricting. Take that ED! It's sooo hard, Most meals are a battle... and I'm winning. Fuck. ED.

Sorry this is so long. I needed to share.",positive
I also felt like I was slightly disadvantaged as I do not have an iphone and therefore could not access the app. Having an app would have made it more easily accessible. As for future plans I have a small break from uni at the moment (2 weeeks off) so I would like to implement some healthy coping strategies during this time so that when things get hectic again I will be comfortable using them.,mixed
Unfortunately due to having a very stressful year thus far I have not made any progress but I feel that I do have the tools to help me now and am feeling more motivated at the moment to elicit this change. The program was actually quite good and unfortunately I don?t have any constructive feedback to help improve it. Maybe more scheduled check ins and a better meal planner system to keep track of progress. I know that it shouldn?t be a major focus of the program as it is trying to eliminate these habits but overall I find it would have been helpful for myself,mixed
I think my biggest issue with coping mechanisms is that I often forget about them in the moment and instead adopt my unhealthy coping mechanisms which I have been using for so long. Making healthy strategies a habit rather than something I have to actively think about would make it a lot easier during those times. I hope I have adequately answered all your questions. I would love to have organised a phone call at some stage but I have friends and family visiting over the next week.,mixed
This year has been a little bit of a crazy year. Unfortunately the weight hasn't come due to better eating habits. I went through a particularly hard time and was bingeing a lot without the purge to compensate as I just didn't have the energy or motivation. As a result I put on a lot of weight. At the moment however I am incredibly motivated to maintain a healthier weight and regain my control after meeting an amazing guy and actually getting excited about my future again.,mixed
Thank you for all your check-ins I am sorry that I was so absent throughout it all. My motivation disappeared and was incredibly hard to find again.,negative
"Placement has been pretty intense. Long days. But the routine and everything has been beneficial, except today when I forgot to take morning tea! I was more than a little devastated since it was a 7am start. but besides that eating has been fine. Had a minor sugar ""binge"" the other day after a long day of placement. 
I still have negative thoughts about my body but I guess since I have been busy I have been distracted from that too.",negative
When I first developed my eating disorder I had anorexic tendencies which then moved on to bulimia (both vomiting and exercising as my purge) over the past year I have put on a considerable amount of weight and with that my period has returned and is regular.,negative
Hey! My week has been a bit up and down. Yesterday was a struggle but I'm not quite sure what the trigger was. I ended up bingeing and then using exercise as my purge. Maybe it was boredom? I'm also getting anxious about Christmas.,negative
Hey I am so sorry about my complete non-compliance with the program. I was very motivated at the beginning but life kind of got in the way and I completely lost my way. I am so happy that I still had access to all the tools today as I went through each of the techniques and found ones that I think will be helpful for me in the future. One I found would be particularly helpful was the opposite action one. It is a great way to recognise negative behaviours and thoughts and equips me with the appropriate action to take to avoid negative behaviour.,positive
Hey Melody! I am an Aussie so no thanks giving celebrations for me but thank you regardless. I am thankful that my body is still going and that I have finally got my period back! Hope you have a great thanks giving.,positive
"Sometimes, I feel I cannot stop my temptations for sweets, such as frozen yogurt and soda and go over my target number of calories. Do you have any tips",negative
"Thanks Melody, my week has been a bit stressful. I've gotten some sleep, but less since I have finals this week. I also haven't been able to go to the gym at all this week, and that makes me want to eat less to restrict my calories.",negative
"I thought it was fun but I actually found myself thinking much more about negatives than positives, which I don't think was the most helpful. But maybe it will be more helpful in the future, we'll see!",mixed
"That would definitely be difficult to me since i tend to eat little and often (I get full quickly but then hungry more between meals), but I could try it. I am home for break and the rest of my family is on a 3-meal schedule, so this could be a good time to try getting back into that.",mixed
"I think for food reintroduction it was easiest to do it with my roommate and just explain what I was doing. It definitely helped me feel accountable while still supported. I think I had more binge eating episodes this unit because this has been a pretty busy and stressful month. I usually end up binge eating when I'm upset or when I'm stressed. On the up side, the episodes did not put me into a downward spiral or anything like that. I just sort of said ok that happened today and tomorrow is a new blank slate. I do that a lot when I am disappointed in myself because or else I'll hold onto something from a month before that I can't do anything about now.",mixed
"Hi Ellen! Yeah it's definitely been outside commitments that have been getting in the way. I'm in shopping period for classes, so my schedule is moving around a lot. I also quit my part-time job and started another, so that has made my schedule a bit wacky. And then on top of that, I'm starting a research position that I'm in the process of scheduling. I usually take 12-14 credits per semester, and this semester I'm taking 17 so things are pretty crazy. I'm hoping I can nail down more of a routine though. Right now I'm not getting enough sleep so I have been sleeping late some days and messing up my schedule. Any advice on getting my sleep schedule under control? I feel like if I get that right, I can manage my commitments more and then carve out more before-bed time for the program. My issue is always so silly, but I literally just don't go to bed. Like I see what time it is, I badger myself about how I need to go to bed NOW, but I don't always do it. Sometimes I have too much energy still, but sometimes I just get lazy or something. Anyway, if you have any advice on regulating my routine in general, let me know!",negative
"Regarding work, this semester I got out of class at 2:30, stopped home briefly to pack some food, and then left the house at 3. Then I am off work any time between 6:30 and 9, so if it's a 6:30 night then i could eat at 7 when I get home, but if it's a 9 then I'm going to need food during and after. Also some nights I work and then have night class after at 8, so in those cases I just sort of grab food whenever I have a spare minute. It's not ideal, but hopefully my schedule can work better next semester.",negative
"Hi! Regular eating went pretty well over break because my family is on that schedule, but it has been difficult since I got back to school because my schedule fluctuates more. For example, on days when I work I tend to have two smaller dinners because I can't make it through work on only a snack, but I also can't pack a whole dinner. Not sure what to do about that but I'm trying to come up with ideas. Weighing myself is definitely tough for me. I tend to go through phases for a few months of weighing myself every day and then avoiding weighing myself for a while. Usually when I know I am not in a healthy weight range I avoid weighing, and then when I get more motivated to get healthier I start weighing again until that sort of wears off. I know I am at an unhealthy weight for myself so this session was the first time I weighed myself in a few months. It definitely was not enjoyable.",negative
"I have a question about the meal planning. I tend to get really hungry at night, not very late but maybe like 9 oclock if i have dinner at 7. And then I get up pretty late for class so if I went with this meal plan I would have no food between 7pm and 11am or 12pm the next day, which is a long time for me. Not sure if it's ok to add in a snack at around 9am instead of one of the midday ones? Sometimes I just have dinner later anyway, but I know leaving it up in the air is not good for keeping my metabolism regular. Anyway, let me know what you think.",none
Ok thanks! yeah things have been very busy but I'm going to try to get back going on the program,positive
"As far as the holiday season, it has been going surprisingly well! It helps that I am gluten free, so I can't really splurge on holiday deserts. Also, I am much more active and less stressed when I am home with my family, so I have been able to focus on getting back into exercising. I used to love running but hadn't done it for years, and so I've started to work on getting back into that! I've actually had a record low of binging situations this past month--I don't think I binged at all! I have actually been much better since I have started the program as well, so I wan't to get back to it as the new semester approaches (aka more stress). Hopefully things continue to go well!",positive
"Thanks for saying hi and reading through my responses, Ellen! I look forward to the program!",positive
"Hello Caroline. Thank you for staying in contact. I want to let you know that I have been hospitalized for bradycardia. low heart rate, which the doctors agree is related to undernourishment. Rest assured, I'm being well cared for at the Comprehensive Care Program at El Camino Hospital. The appropriate individuals on Stanford campus have been notified about my condition, and will be helping to facilitate accommodations. I will be putting in place a follow-up plan with the staff here to help me recover and maintain stability once I am ready for discharge. I hope to emerge from this experience restored and motivated to strike a better balance and improve my lifestyle and functionality. Thank you for your reflections and for continuing to work with me.",mixed
"Hello Caroline. Sorry for missing the call today. Are you still able to talk tomorrow at 11am? Should I be the one to contact you? Generally, I've found the program very helpful so far and I really appreciate your feedback. You've shared some really valuable observations and insights with me and guided me toward behaviors which might target triggers for chaotic eating and poor body image and self esteem. I find the grounding tools helpful for making me more mindful and aware of my current state of being, emotions, thoughts, and sensations. I continue to struggle with intrusive thoughts about food when trying to do any sort of activity, and find it especially difficult to be in control of my behaviors when I'm not engaged in a specific task. Transitioning from one stage of the day to the next is very challenging. In particular, the first hour or so after a meal poses a big challenge for me and I find myself thinking about how full I feel and how long it will be before I get to eat next. I'm really through with my family having to deal with my behaviors and having so much negative attention focused on me. I'm grateful that there are people who care for me, but I really wish I could just handle personal problems on my own. I really want to return back to a place where I can be steady and utilize all aspects of myself. Right now, I find myself being drained of energy, both physical and mental, much of the time. I also experience boredom when I think I shouldn't, and time often seems to drag by at a glacial pace. I'm really grateful to be with family right now and in the comfort of home. I need to work on being OK when I'm not burning calories and feeling like my stomach is empty and feeling strong and stretched. I look forward to our conversation. Again, apologies for missing the call today.",mixed
"Thank you for the update you sent me yesterday. I have been unable to access the exercise tracker, the weight monitor, and the body image tracker through the techniques app even though I am receiving messages via email reminding me to use them. I hope this is not a glitch in the system. I look forward to discussing further tomorrow. Something I would like to discuss is the fact that over the next several weeks, I may not have consistent internet access, and therefore, I may not be able to engage with the program as regularly for a while. I hope this does not interfere with anything. Thanks.",negative
"Hello Caroline, Running is my primary form of exercise. I run anywhere from as 25-70 miles per week, and have done so for the past couple years. Running serves as a way to wipe the slate clean so to speak, to burn calories, to be outdoors, to de-stress, to be away from people, to do something physical, to challenge myself not just mentally, etc.. Running serves many purposes for me. I also bike aggressively, use the elliptical machine, row, and do some weight lifting, pull-ups, push-ups, etc. Cardio is definitely my primary form of exercise thought. I experience intense anxiety and irritation when I do not get cardio in even when I plan to take a day off. I have difficulty transitioning after eating to whatever I'm doing next and dealing with intrusive thoughts about food. I often times find myself thinking about food either in the back of my mind or in the front of my mind for much of the day. I also have difficulty distracting myself and re-focusing on something else when caught in these patterned thoughts. I am working on disciplining my mind and learning how to make my behaviors more intentional. I notice that when I feel that my eating is out of control, my irritation and anxiety become even more potent. Please let me know if you have advice as to how I can deal with these thoughts and behaviors in a healthy way to keep things in balance.",negative
"Hello Caroline,
Thank you for your message. I am currently on vacation with my family and have tried to be more tuned into my emotional states and behaviors. I've noticed that when I'm particularly distressed by body image and body sensations, I become irritated with those around me and my thoughts gravitate toward isolation and discontent. Yesterday my father remarked at one point that he felt as though I was hostile and angry toward him because I kept expressing that I felt as though he was singling me out and was acting paranoid. I believe that my weight is stable and maybe mildly fluctuating up and down, mainly down a few pounds. I still feel powerful feelings of guilt when I eat and think about the work that I will have to do to make up for the caloric intake in the future. I am not restricting my food intake persay, but I am still attempting to be cautious about the type of food I eat and to some extent the quantity of food I consume. I feel quite uncomfortable when I do not get a high amount of physical activity in, and I feel as though I enjoy feeling lean. I'm not sure which of these feelings about body image are wrong, but when I do things that I feel will make me depart from being ""lean enough"" so-to-speak, I experience a high degree of distress and irritability. I become particularly irritated when I am putting calories in my body that I'm uncertain as to what they will do to me -- extra calories outside of three balanced meals - and when I do not know when I will be able to regulate what those calories will do to me through physical activity and periods of not eating. I have been weighing myself fairly frequently, and notice that I become a little freaked out and depressed when the scale reads a weight higher than anticipated, which for me is anything above 130 pounds at 5'7''. I am working on shifting my mindset toward the number on the scale, but have difficultly controlling how the number makes me feel. I feel as though weight gain is associated with failure and laziness in my mind, and that is why I am experiencing so much distress around eating behavior, weight, body image, etc. Thanks again for your feedback.",negative
"Hi Caroline. I would just like to give you some more background on my situation. I have been struggling with an eating disorder and compulsive ""driven"" exercise for years. I have struggled with binging and purging (through exercise and restriction). I have intrusive thoughts about food which interfere with my ability to concentrate and thrive in other areas of life. I struggle with body image issues, self-confidence, and self-worth, and exercise is a partial personal treatment for these mental frameworks. I have been seeing a psychologist and nutritionist for several years now and I have yet to make significant improvements in improving thought patterns. I have been a runner for several years, and running is my exercise of choice. I do not usually feel like I've exercised enough to feel OK about myself for the day unless I've fit in five to ten miles of running and some push-ups and pull-ups. I also bike and use the elliptical machine when my joints and muscles ache, though I feel that I must do much more of these activities in terms of time than I would devote to running in order to get in an equivalent workout. I have a difficult time taking break days, and feel that I must get in this minimum amount of activity to maintain current weight and muscle mass (even though I am unable to recognize or understand exactly how I look to others; I only know my own standard of how I ought to look). Eating often feels out of control and overwhelming to me, and I feel incredibly self-conscious about eating and how it affects the way I look and feel. I often feel bloated and fat after eating. I very rarely feel satisfied and ready to transition to another activity after meals. After dinnertime in particular, controlling eating becomes a real challenge for me, and this is when I tend to binge on usually cereal, power bars, and sometimes sweets. I've been told that these binges are likely the result of my body trying to make up for caloric deficits very quickly, though they feel very uncomfortable. I should emphasize that I feel very bloated and round around the middle much of the time and feel that this is unfair considering how much work I put into staying trim. I would love your suggestions as to how I can balance healthy eating and exercise. My goal is to be athletic and to feel good about the way I look and feel and to not feel distress when eating.",negative
"You have correctly identified a scenario in which I feel loss of control -- after eating something I view as unhealthy or portions that are unhealthy and will make me gain weight, I feel very much caught in a cycle that forces me to only think about the instantaneous gratification from doing something that contradicts behaviors that I engage in at other times. Eating carbohydrates and sugars often causes me distress as I feel as though they are the triggers for chaotic eating behavior. When I eat protein, light dairy products, fruits and veggies, I feel more comfortable.",negative
"Hi Caroline. I hope you also had an enjoyable Thanksgiving. Thank you for your feedback. I have found the program helpful so far. To be honest, the need to check in every day with lantern and to chat with someone helps me hold myself a little more accountable. I look forward to our next check-in.",positive
Hello Carloline! I apologize for being out of contact over the past several days. I was travelling out of the country and had limited internet access. Thank you for involving me in the program. Let me know if you need any further feedback. Wishing you well.,positive
Hi Caroline. I'm wondering if we can discuss how to find better ways to have a healthy relationship to exercise. How would it be possible to integrate healthy exercise plans into my life? Just wanting to keep our conversation going...,positive
"Hi, I've been struggling a lot lately and that is why I have been unable to log on",negative
"I haven't been finding the program helpful because I would rather have an audio option for the readings. I have to read a lot for my job so my brain gets tired and I so it makes it hard to read anything else. 

I didn't binge on my last check in because I was working until 9pm so i was distracted and didn't have access to a lot of food to binge on. I usually binge when I get home and I am just with my step-daughter.",negative
I haven't been able to eat the forbidden foods without over eating them so I wasn't very successful. I found myself most successful if I gave myself a specific time that I could eat the forbidden food stopped me from eating too much because I had something to look forward to.,negative
I don't think I am going to do the mirror exercise. I promised myself to stop looking at my body in mirrors. I don't like looking at my body. I don't like what I see and it makes me sad when I do.,negative
Hi Jackie. The in person counselling was very helpful however I graduated and moved to another state for a job and not doing very well. I am hoping to be able to find counselling where I am now.,negative
Sorry for not logging in. I was sick the first week and then went on vacation after but i will start my program again. Thank you for checking in.,negative
I have included strength training in my routine. I feel guilty if I miss an exercise training because I complain about my weight all the time and so I don't feel I should skip exercise because exercising is what will help me to lose weight.,negative
I will try to go through the modules again and I will keep those resources in mind. Thanks so much!,positive
I would like help with getting to a healthy weight and boosting my self-confidence and self-esteem.,positive
I also sought help from the Student Center and started sessions there also.,positive
I am going to try and focus more on my family than my appearance to help build my self-esteem.,positive
"Thanks I have been out of pocket with the holidays... I am just going to write down some thought I hope that is ok.. Nothing you necessarily need to get back with me on just need to put down in words.
I survived the holidays not great and by no means not gracefully but I survived. I didn't check in over the holidays because I was overwhelmed and just didn't do it.. I know I should have but just didn't... I am back and trying to re focus .. I have come to the awareness that I am not sure if I can do this alone.. I am going to continue to seek help to get in a ed program that has IOP or in patient ..",mixed
"Michelle , my eating and binging and purging are really out of control right now.. I don't really keep track of how many times I eat or purge( so this exercise is good in the sense that I am having to be aware) I think I am going to log in at night before bed and do it one what I have had that day is that ok? Or how do you want me to do this because right now I don't really have set meals .. I mean I eat breakfast and dinner with family but all other are crazy and lots in between .. I WILL get better",mixed
"Theses are awesome resources thank you. I will keep you posted on my efforts.
Today I am feeling frustrated and overwhelmed with nutritional information... You should eat every 2to 4 hours.. Others say no you should .. Eat when you are hungry .. Moderation is the key.. Yes..low fat.. No low fat because they add sugars .. Grrrrrr. How are you suppose to know what is right and what is wrong and how do you plan for you and your family trying to make the healthiest choices possible... It is really overwhelming me.. I am feeling frustrated and out of control....which in turn is really making me want to say screw it and go binge my ass off ... I try and take one thing at a time but meal planning for me is a HUGE stresser!!!",negative
Sorry we have been out of town..things are a little crazy.. Please don't give up on my I am trying.. I am a little frustrated but not with the program with myself... I can't seem to get any regular meals planned and to keep from purging them.. I will not give up.. I also don't own a scale so I will have to buy one before I can start that piece.. Thanks for checking in,negative
"Hi Jenna. My goals are still the same I believe. I don't feel like the meal plan is very helpful for me currently and I'm not very sure why. Anyway my week has been alright. A lot of binging unfortunately, but hopefully next week is better.",negative
"Hi Jenna. None of those times work this week, but I'd be open to talking so maybe next week could work. I have not been able to eat very mindfully so far. I have stopped using an appetite suppressant though.",negative
When engaging in binging behaviors I'm more likely to become depressed and lash out at the people around me. This depression also doesn't make me feel like myself,negative
"Hi Jenna, Sorry for the lack of logins. I'm going to try and do this more often.",positive
"The only problem with my grocery shop choice is that I can seem to make myself eat the carrots and salad. In regards to inncidents that can ""snap"" me out of binging, I have no idea. I know lots of people try/say to go workout when you want to eat, but that doesn't work for me. Or they say to do some sort of activity that distracts you. However, it is very difficult for me to find things to distract me from wanting to eat. Binging to me is literally an adiction, where it's always in the back of my mind at night, no matter what I do, whether its reading, watching tv, homework, cleaning, writing, etc. The plate inncident was different because it was something that had to be cleaned up NOW because otherwise it would harm people living in my apartment, and I was really worried if whether or not I got rid of all the pieces on the floor. Additionally, this week, I made a mini goal to concentrate on eatting better, and didn't excersize. I didn't count calories as much and ate better foods for me and limited my portions and tried not to binge. I binged only three days. The first was because I couldn't sleep due to social anxiety, the second was because my friend took me out to a mexican restaurant and I was starving and I couldn't say no to the chips, and the thrid was becaue I attended an awful work party. Next week, my mini goal (in addition to still eatting healthier) is to do cardio 5 out of 7 days.",mixed
"Just a heads up that I didn't binge the night before last. So that was awesome. Finally worked out today for the first time in a week, and that felt good. I've been thinking about starting to eat mostly organic foods in Janurary, but I'm worried about the cost.",mixed
"Anna,
I'm a bit uncomfortable talking over the phone. How about I explain why I'm interested in Lantern and my goals from using it?
In the past year, both my father and brother have been diagnosed with either diabetes or borderline diabetes. I also know my grandfathers on both sides of my family had diabetes. It?s only a matter of time before I get it. And right now, I eat way too much sugar.
I also emotionally eat by binging. When I?m stressed or sad, I eat to get the dopamine to feel better. I?ve done this for probably six years now, but it?s gotten much worse due to various factors such as loss of a social circle and pressure to find a job after I graduate. 
When I entered college I weighed 145 pounds. Now I weigh 160. I?ve gone through bursts to try to loose the weight, but I always end up gaining it back. 
Essentially, I?d like to develop better eating habits so that I 
1. Don?t depend on food for my happiness
2. Prevent disease
3. Loose just a bit to feel more confident in my body.
Questions, comments, concerns?",mixed
Hey. I don't like the meal planner. I don't like to plan meals because I never know what I'll be in the mood for when I'm hungry. It's too much control for me. Is there any way I could do some other activity?,negative
"Thanks for being so understanding! I'm honestly not sure yet what parts of the program have been most helpful. When I started the program I was really committed to eating in a more healthy manner, but my motivation has decreased, which then makes me feel guilty and want to eat more lol Do you have any advice on how to find motivation and not feel guilty?",negative
